City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
60,Saint Anthony,US,73.89,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
61,Tura,IN,70.75,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
64,Pundaguitan,PH,80.98,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
65,Hithadhoo,MV,82.96,broken clouds,-0.6,73.0833,Scoop Guest House
69,San Pawl il-Baħar,MT,71.06,few clouds,35.9506,14.4156,Qawra Palace Hotel
71,Raton,US,70.14,broken clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
73,Sangerhausen,DE,65.03,overcast clouds,51.4667,11.3,Rosen Hotel
75,Nāzirā,IN,73.65,overcast clouds,26.9167,94.7333,Hotel Villa & Restaurant Fruition
76,Ponta do Sol,PT,75.0,overcast clouds,32.6667,-17.1,Hotel do Campo
77,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
84,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
88,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Carbondale,US,76.89,broken clouds,37.7273,-89.2168,Best Western Saluki Inn
90,Gaza,PS,75.18,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
93,Algiers,DZ,73.09,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
94,Pijijiapan,MX,85.46,broken clouds,15.7011,-93.23,Hotel Rosita
97,Buala,SB,82.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
106,Marihatag,PH,75.92,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
108,Erbil,IQ,76.82,clear sky,36.1926,44.0106,Erbil International Hotel
109,Bayonet Point,US,88.99,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
110,Oporapa,CO,69.1,scattered clouds,2.0502,-75.9768,Finca la esperanza
112,Marsabit,KE,70.47,overcast clouds,2.3284,37.9899,Chicho Hotel
116,Gorontalo,ID,75.81,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
117,Kavaratti,IN,81.41,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
118,Katsuura,JP,69.91,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
119,Lewistown,US,74.82,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
122,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
123,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
124,Tucuruí,BR,81.45,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
127,Bandarbeyla,SO,78.78,broken clouds,9.4942,50.8122,JABIR HOTEL
130,Puerto Escondido,MX,88.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
132,Meulaboh,ID,74.55,broken clouds,4.1363,96.1285,Kost Pria
134,Anantapur,IN,79.34,few clouds,14.6833,77.6,Ashoka Lodge
135,Bengkulu,ID,74.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Hong Kong,HK,84.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
141,Itarema,BR,79.18,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
145,Mahébourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
147,Vung Tau,VN,79.97,moderate rain,10.346,107.0843,Green hotel
148,Voh,NC,82.36,few clouds,-20.9667,164.7,Le gîte du Koniambo
149,Kampot,KH,77.05,broken clouds,10.6167,104.1833,Two Moons Hotel
150,Maningrida,AU,80.89,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
152,Sainte-Suzanne,RE,73.62,light rain,-20.9061,55.6089,Gites Ango
154,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
155,Encheng,CN,74.7,overcast clouds,22.1839,112.3026,Pinghu Hostel
156,Codajás,BR,82.71,overcast clouds,-3.8367,-62.0569,Hotel Tucunaré
157,Sobradinho,BR,74.26,few clouds,-12.8333,-39.1,Pousada Pau Brasil
161,Sambava,MG,69.48,light rain,-14.2667,50.1667,Melrose
164,Faanui,PF,78.78,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Vangaindrano,MG,68.54,scattered clouds,-23.35,47.6,Hotel Fanilo
167,Bowen,AU,75.42,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
168,Sarangani,PH,80.98,overcast clouds,5.4033,125.4636,Ballistic Islet
169,Dubai,AE,88.05,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
172,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
174,Westport,US,75.34,broken clouds,41.1415,-73.3579,The Westport Inn
177,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
181,Camacha,PT,71.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
182,Lander,US,76.1,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
184,Ojinaga,MX,88.57,clear sky,29.5667,-104.4167,Suites Las Palmas
185,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
186,Hobyo,SO,78.28,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
187,Buraidah,SA,84.65,clear sky,26.326,43.975,فندق راحة السلام
188,Butaritari,KI,82.42,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
191,Kibala,TD,78.75,clear sky,9.1104,18.3463,hotel safari
200,Ntcheu,MW,71.22,clear sky,-14.8203,34.6359,Dear Executive Lodge
206,Gillette,US,78.03,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
207,Tezu,IN,73.09,overcast clouds,27.9167,96.1667,Circuit House
208,Ribeira Grande,PT,71.83,few clouds,38.5167,-28.7,Quinta da Meia Eira
211,Maddūr,IN,71.87,overcast clouds,12.6,77.0667,Hotel Thimmadas Residency
212,Tabuk,PH,73.44,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
213,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
216,Grand Island,US,81.19,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
218,Breves,BR,81.84,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
219,Pathein,MM,76.89,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
221,Santa Maria,BR,67.3,light rain,-29.6842,-53.8069,Hotel Morotin
222,Sorong,ID,77.52,overcast clouds,-0.8833,131.25,waigo splash hotel
224,Hasaki,JP,66.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
226,Ledyard Center,US,72.16,clear sky,41.4398,-72.0142,Stonecroft Country Inn
229,Kodīnar,IN,79.03,scattered clouds,20.7903,70.7031,residency of N.B vadhel
230,Rong Kwang,TH,72.39,scattered clouds,18.339,100.3174,Rong Kwang Hotel
232,Dingle,PH,75.4,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
235,Trairi,BR,79.45,clear sky,-3.2778,-39.2689,janelas do mar
238,Acapulco de Juárez,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
239,Nara,JP,70.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
241,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
242,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
243,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
244,Pointe-Noire,CG,77.07,broken clouds,-4.7761,11.8635,Kactus Lodge
245,Vao,NC,72.36,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
246,Piracanjuba,BR,84.45,overcast clouds,-17.3028,-49.0167,Casas Luci
247,Feni,BD,76.69,overcast clouds,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
248,Kalmunai,LK,79.2,moderate rain,7.4167,81.8167,VS Villa
251,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
253,Zamānia,IN,73.94,scattered clouds,25.4333,83.5667,UMAR ZAMA KHAN PLACE
254,Todos Santos,MX,88.39,broken clouds,23.45,-110.2167,Hotel California Todos Santos
255,Água Branca,BR,84.13,clear sky,-5.8922,-42.6361,Água branca do Piauí pi
256,Kesinga,IN,75.85,overcast clouds,20.2,83.2333,Hotel Jayashree
257,São Filipe,CV,80.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
258,Magburaka,SL,74.52,overcast clouds,8.7167,-11.95,PROF LAKOH
261,Oriximiná,BR,83.64,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
262,Dwārka,IN,81.84,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
263,Saint-Leu,RE,72.46,clear sky,-21.15,55.2833,La Caz Oceane
