City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Broken Hill,AU,-31.95,141.4333,55.11,54,0,12.66,clear sky
190,Bridlington,GB,54.0831,-0.1919,53.89,80,1,17.81,clear sky
191,Kibala,TD,9.1104,18.3463,78.75,83,0,0.0,clear sky
192,Saskylakh,RU,71.9167,114.0833,17.04,92,99,11.77,overcast clouds
193,Nehe,CN,48.4833,124.8333,36.73,79,7,3.58,clear sky
194,Saryozek,KZ,44.3583,77.9753,43.92,41,100,2.3,overcast clouds
195,Port Lincoln,AU,-34.7333,135.8667,53.87,63,43,28.27,scattered clouds
196,Orlik,RU,52.5178,99.825,18.77,79,100,2.64,overcast clouds
197,Anadyr,RU,64.75,177.4833,37.9,93,40,11.01,mist
198,Port Elizabeth,ZA,-33.918,25.5701,54.1,76,4,6.58,clear sky
199,Lavumisa,SZ,-27.31,31.892,58.55,81,100,3.56,overcast clouds
200,Ntcheu,MW,-14.8203,34.6359,71.22,50,3,1.7,clear sky
201,Skjervøy,NO,70.0311,20.9714,52.45,68,100,27.6,overcast clouds
202,Vysokogornyy,RU,50.1167,139.15,34.75,90,82,3.29,broken clouds
203,Kalmar,SE,56.6616,16.3616,59.14,83,100,11.5,overcast clouds
204,Jakar,BT,27.5492,90.7525,55.04,97,100,0.74,overcast clouds
205,Lompoc,US,34.6391,-120.4579,95.14,51,1,13.8,clear sky
206,Gillette,US,44.2911,-105.5022,78.03,13,1,4.0,clear sky
207,Tezu,IN,27.9167,96.1667,73.09,99,100,1.68,overcast clouds
208,Ribeira Grande,PT,38.5167,-28.7,71.83,89,24,6.46,few clouds
209,San Francisco,US,37.7749,-122.4194,97.3,42,20,4.61,smoke
210,Fairbanks,US,64.8378,-147.7164,35.31,95,90,1.01,light snow
211,Maddūr,IN,12.6,77.0667,71.87,90,92,2.64,overcast clouds
212,Tabuk,PH,17.4189,121.4443,73.44,94,56,2.08,broken clouds
213,Cayenne,GF,4.9333,-52.3333,84.24,74,0,5.01,clear sky
214,Ust-Kuyga,RU,70.0167,135.6,14.27,96,73,3.91,broken clouds
215,Sisimiut,GL,66.9395,-53.6735,34.52,73,22,6.31,few clouds
216,Grand Island,US,40.925,-98.342,81.19,25,1,1.99,clear sky
217,Masindi,UG,1.6744,31.715,62.94,93,100,4.09,overcast clouds
218,Breves,BR,-1.6822,-50.4803,81.84,66,97,4.43,overcast clouds
219,Pathein,MM,16.7833,94.7333,76.89,93,99,1.95,overcast clouds
220,Chui,UY,-33.6971,-53.4616,52.88,66,81,11.45,broken clouds
221,Santa Maria,BR,-29.6842,-53.8069,67.3,77,75,2.3,light rain
222,Sorong,ID,-0.8833,131.25,77.52,87,100,10.4,overcast clouds
223,Umm Kaddadah,SD,13.6017,26.6876,89.53,19,100,12.21,overcast clouds
224,Hasaki,JP,35.7333,140.8333,66.6,80,0,10.02,clear sky
225,Chokurdakh,RU,70.6333,147.9167,22.1,96,98,8.99,light snow
226,Ledyard Center,US,41.4398,-72.0142,72.16,71,1,6.91,clear sky
227,Inuvik,CA,68.3499,-133.7218,34.81,93,75,13.8,mist
228,Ruteng,ID,-8.6136,120.4721,60.8,90,46,2.75,scattered clouds
229,Kodīnar,IN,20.7903,70.7031,79.03,86,39,7.09,scattered clouds
230,Rong Kwang,TH,18.339,100.3174,72.39,97,37,2.01,scattered clouds
231,Nyurba,RU,63.2842,118.3319,26.01,92,92,4.59,overcast clouds
232,Dingle,PH,10.9995,122.6711,75.4,94,100,4.52,moderate rain
233,Eenhana,NA,-17.4667,16.3333,67.75,16,0,7.36,clear sky
234,Nanortalik,GL,60.1432,-45.2371,38.73,82,0,5.28,clear sky
235,Trairi,BR,-3.2778,-39.2689,79.45,81,0,11.48,clear sky
236,Zlobin,HR,45.2924,14.6541,59.16,88,40,3.44,scattered clouds
237,Kumul,CN,42.8,93.45,45.88,34,0,2.59,clear sky
238,Acapulco de Juárez,MX,16.8634,-99.8901,87.62,70,1,8.05,clear sky
239,Nara,JP,34.6851,135.8049,70.97,77,2,1.7,clear sky
240,Havøysund,NO,70.9963,24.6622,52.68,72,100,35.66,overcast clouds
241,Hambantota,LK,6.1241,81.1185,79.14,100,40,4.61,scattered clouds
242,Touros,BR,-5.1989,-35.4608,81.5,74,6,14.83,clear sky
243,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,21.85,few clouds
244,Pointe-Noire,CG,-4.7761,11.8635,77.07,88,75,4.61,broken clouds
245,Vao,NC,-22.6667,167.4833,72.36,89,3,4.25,clear sky
246,Piracanjuba,BR,-17.3028,-49.0167,84.45,40,91,4.23,overcast clouds
247,Feni,BD,23.0186,91.41,76.69,95,100,3.83,overcast clouds
248,Kalmunai,LK,7.4167,81.8167,79.2,85,100,4.23,moderate rain
249,Cherskiy,RU,68.75,161.3,17.76,97,94,2.75,overcast clouds
250,San Ramon,US,37.7799,-121.978,95.76,24,1,1.99,clear sky
251,Lufilufi,WS,-13.8745,-171.5986,85.78,76,15,21.05,light rain
252,Ola,RU,59.5833,151.2833,37.81,68,100,13.31,overcast clouds
253,Zamānia,IN,25.4333,83.5667,73.94,94,43,5.35,scattered clouds
254,Todos Santos,MX,23.45,-110.2167,88.39,72,76,7.96,broken clouds
255,Água Branca,BR,-5.8922,-42.6361,84.13,30,3,3.91,clear sky
256,Kesinga,IN,20.2,83.2333,75.85,90,97,2.51,overcast clouds
