City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,East London,-33.0153,27.9116,56.34,82,20,0.0,ZA,2021-10-03 18:44:25
27,Kaitangata,-46.2817,169.8464,49.93,82,100,13.67,NZ,2021-10-03 18:47:44
28,Morondava,-20.2833,44.2833,76.89,81,0,10.74,MG,2021-10-03 18:38:36
29,Arraial Do Cabo,-22.9661,-42.0278,85.96,69,20,23.02,BR,2021-10-03 18:44:20
30,Parainen,60.3067,22.301,56.14,76,100,25.64,FI,2021-10-03 18:47:45
31,Sitka,57.0531,-135.33,42.69,81,75,5.75,US,2021-10-03 18:47:45
32,Barrow,71.2906,-156.7887,30.22,80,90,8.05,US,2021-10-03 18:46:49
33,Hilo,19.7297,-155.09,73.62,84,90,4.61,US,2021-10-03 18:43:08
34,Victor Harbor,-35.5667,138.6167,55.49,86,9,1.99,AU,2021-10-03 18:47:46
35,Bengkulu,-3.8004,102.2655,75.13,91,100,3.65,ID,2021-10-03 18:43:46
36,Saint-Francois,46.4154,3.9054,55.47,96,90,1.14,FR,2021-10-03 18:38:37
37,Jalu,29.0331,21.5482,75.96,40,0,7.78,LY,2021-10-03 18:35:05
38,Zhob,31.3411,69.4481,74.82,27,0,6.35,PK,2021-10-03 18:47:47
39,Petropavlovsk-Kamchatskiy,53.0452,158.6483,50.59,62,40,8.95,RU,2021-10-03 18:47:47
40,Port Hedland,-20.3167,118.5667,60.85,72,5,8.05,AU,2021-10-03 18:36:55
41,Yuty,-26.6,-56.25,66.99,95,100,10.63,PY,2021-10-03 18:47:48
42,Srednekolymsk,67.45,153.6833,23.22,94,95,4.25,RU,2021-10-03 18:33:30
43,Katsuura,35.1333,140.3,71.11,79,0,8.52,JP,2021-10-03 18:43:35
44,Alyangula,-13.8483,136.4192,80.47,78,90,5.75,AU,2021-10-03 18:47:48
45,Madang,-5.2246,145.7966,75.87,92,78,2.8,PG,2021-10-03 18:47:49
46,Pangnirtung,66.1451,-65.7125,32.0,100,75,8.05,CA,2021-10-03 18:47:49
47,Punta Arenas,-53.15,-70.9167,42.91,75,75,35.68,CL,2021-10-03 18:44:50
48,Beloha,-25.1667,45.05,71.94,79,2,1.83,MG,2021-10-03 18:47:17
49,Det Udom,14.906,105.0784,81.03,88,100,1.34,TH,2021-10-03 18:47:50
50,Caibarien,22.5206,-79.4669,81.72,71,41,14.14,CU,2021-10-03 18:47:50
51,Busselton,-33.65,115.3333,42.08,67,87,3.58,AU,2021-10-03 18:43:35
52,Qaanaaq,77.484,-69.3632,31.69,98,100,7.43,GL,2021-10-03 18:47:51
53,Puerto Ayora,-0.7393,-90.3518,76.96,76,30,11.86,EC,2021-10-03 18:43:44
54,Isangel,-19.55,169.2667,75.31,88,5,3.44,VU,2021-10-03 18:47:51
55,Tagawa,33.6333,130.8,72.75,62,0,3.76,JP,2021-10-03 18:47:52
56,Pozo Colorado,-23.4923,-58.7972,75.49,82,100,12.06,PY,2021-10-03 18:47:52
57,Bambous Virieux,-20.3428,57.7575,72.21,88,75,13.8,MU,2021-10-03 18:45:42
58,Cape Town,-33.9258,18.4232,57.27,55,20,12.66,ZA,2021-10-03 18:47:32
59,Ponta Do Sol,32.6667,-17.1,75.7,75,100,3.74,PT,2021-10-03 18:44:11
60,Castro,-24.7911,-50.0119,63.48,98,100,1.23,BR,2021-10-03 18:47:53
61,Charlestown,-32.95,151.6667,65.41,77,94,1.99,AU,2021-10-03 18:44:02
62,Nemuro,43.3236,145.575,61.18,86,83,31.29,JP,2021-10-03 18:47:54
